"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 27 13:13:52 GMT 2021","Tue Apr 27 13:14:03 GMT 2021","11299","","WebTrader Login page","","WebTrader Login page","should login with valid credentials","should login with valid credentials",""
"passed","Tue Apr 27 13:14:03 GMT 2021","Tue Apr 27 13:14:08 GMT 2021","5214","","WebTrader Login page","","WebTrader Login page","should does not login with bad credentials","should does not login with bad credentials",""
"passed","Tue Apr 27 13:13:52 GMT 2021","Tue Apr 27 13:14:16 GMT 2021","24310","","WebTrader Registration page","","WebTrader Registration page","should register with valid data and login after","should register with valid data and login after",""
